id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27021568,N.Lamar: Economic Spot in Great Community 5,8167447,Martin,,78751,30.32033,-97.729,Shared room,19,30,5,2022-04-15,0.07,97,364,0,
27031966,Totally Austin House - near Barton Springs & SOCO,4094761,Laura,,78704,30.2343,-97.77791,Entire home/apt,160,2,192,2024-06-15,2.67,2,328,15,
27032782,Cozy Downtown 2BR by Convention Center | Pool,42527690,Remi,,78701,30.263332733240823,-97.73653921534424,Entire home/apt,255,2,46,2024-06-16,4.76,1,95,46,
27079031,Great Remodeled Studio in the 04,2280677,Kevin,,78704,30.2383,-97.77704,Entire home/apt,85,3,25,2024-06-16,0.35,2,325,12,
27088626,Modern Lake Travis Retreat with Pool,3250949,Ashley,,78734,30.36442,-97.94925,Entire home/apt,,2,2,2019-06-16,0.03,1,0,0,
27106472,"Spacious & Comfy Boho Condo in Austin, TX",204010989,Joy,,78745,30.20089,-97.79913,Private room,,2,6,2019-03-29,0.08,1,0,0,
27110239,SoLa apartment with a greenbelt view,60624973,Will,,78704,30.23958,-97.78993,Entire home/apt,,1,1,2018-08-28,0.01,1,0,0,
27132095,“The Bird”,21697884,Stacy,,78734,30.36134,-97.94851,Entire home/apt,100,2,101,2024-05-26,1.41,1,84,6,
27133697,QUIET PRIVATE Getaway Minutes From Downtown ATX,49184614,DP Estates,,78749,30.22291,-97.85283,Private room,80,2,31,2023-11-06,0.43,2,179,3,
27134726,1 Bedroom Condo at Wyndham Austin Resort,14269516,Kelly,,78701,30.27268,-97.74745,Private room,500,2,1,2022-03-20,0.04,2,169,0,
27136327,Private Casita-Style Condo on West 6th Street,1532821,Shaun,,78703,30.27144,-97.7563,Entire home/apt,141,2,153,2024-04-29,2.15,1,100,16,
